,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3865,40,25,9.0,0,0
3866,35,25,9.0,0,1
3867,53,25,9.0,0,0
3868,33,25,9.0,0,1
3869,52,25,9.0,0,0
3870,22,25,9.0,0,1
3871,33,25,9.0,0,1
3872,33,25,9.0,0,1
3873,53,1020,9.0,0,1
3874,35,1020,9.0,0,1
3875,33,1020,9.0,0,1
3876,24,1020,9.0,0,1
3877,57,1020,9.0,0,0
3878,23,1020,9.0,0,1
3879,31,1020,9.0,0,1
3880,33,1020,9.0,0,1
3881,48,1020,9.0,0,1
3882,45,594,5.0,0,1
3883,33,594,5.0,0,0
3884,33,594,5.0,0,1
3885,33,594,5.0,0,1
3886,33,594,5.0,0,1
3887,33,594,5.0,0,1
3888,33,594,5.0,0,1
3889,33,594,5.0,0,1
3890,33,594,5.0,0,1
3891,33,50,0.0,0,1
3892,33,50,0.0,0,1
3893,52,50,0.0,0,1
3894,33,50,0.0,0,1
3895,52,50,0.0,0,0
3896,33,50,0.0,0,1
3897,33,50,0.0,0,1
3898,42,50,0.0,0,1
3899,34,50,0.0,0,1
3900,33,840,0.0,0,0
3901,22,840,0.0,0,1
3902,33,840,0.0,0,0
3903,33,840,0.0,0,1
3904,33,840,0.0,0,1
3905,33,840,0.0,0,0
3906,48,840,0.0,0,1
3907,51,840,0.0,0,0
3908,62,840,0.0,0,0
3909,23,840,0.0,0,1
3910,33,1070,0.0,0,1
3911,33,1070,0.0,0,1
3912,33,1070,0.0,0,1
3913,48,1070,0.0,0,0
3914,39,1070,0.0,0,1
3915,33,1070,0.0,0,1
3916,33,1070,0.0,0,1
3917,33,1070,0.0,0,1
3918,33,1070,0.0,0,1
3919,37,1070,0.0,0,0
3920,33,1070,0.0,0,1
3921,33,1070,0.0,0,1
3922,33,3,18.0,0,1
3923,33,3,18.0,0,1
3924,33,3,18.0,0,0
3925,48,3,18.0,0,1
3926,33,3,18.0,0,1
3927,33,3,18.0,0,1
3928,33,3,18.0,0,1
3929,33,3,18.0,0,1
3930,33,62,0.0,0,1
3931,46,62,0.0,0,0
3932,33,62,0.0,0,1
3933,33,62,0.0,0,1
3934,33,62,0.0,0,1
3935,33,62,0.0,0,1
3936,32,62,0.0,0,1
3937,33,62,0.0,0,1
3938,33,1050,0.0,0,1
3939,53,1050,0.0,0,1
3940,40,1050,0.0,0,0
